,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Return_5y_Log,Return_1y_Log,Return_1m_Log,USD_1M_Libor,Equity_Weight,Cash_Weight,Portfolio
132,15.86,1993-01-31,1680.02001953125,0.09171666127282707,-0.0382078762172543,1.1856679229289013,e)Below18.8,e)Below18.8,13.784,16.041999999999998,18.554,21.174,4,4.0,2.0,4.0,0.06305170239596469,0.0563063063063063,0.04056859123471961,0.10208340289138926,0.08775137595626972,-0.038956939210631134,0.7819214673862293,0.0313,1.1096548279673881,-0.10965482796738812,1.3122499389287412
133,17.03,1993-02-28,1676.8399658203125,0.095585908430049,-0.024156900721851282,-0.022479410111395426,e)Below18.8,e)Below18.8,13.826,16.122,18.516,21.136,3,3.0,2.0,4.0,0.05871990604815032,0.05635394277526257,0.04058502241788475,0.10205210176621815,0.09128929635806897,-0.024453464428470427,-0.022735923519796045,0.0319,1.0384915518676243,-0.03849155186762432,-0.024572557996229018
134,16.9,1993-03-31,1626.8299560546875,0.0916898079768349,-0.05859649194685157,-0.3046450786090945,e)Below18.8,e)Below18.8,13.868,16.206,18.468,21.098,3,3.0,2.0,3.0,0.0591715976331361,0.05640157924421884,0.040601453601049886,0.10202080064104704,0.087726778341147,-0.06038342360059312,-0.3633328855088154,0.0319,1.0451000950419318,-0.0451000950419318,-0.3198232936402591
135,16.85,1993-04-30,1627.2099609375,0.08630983694173744,-0.09917736545697198,0.0028066372613675394,e)Below18.8,e)Below18.8,13.91,16.29,18.42,21.06,3,3.0,2.0,3.0,0.05934718100890207,0.05643342655039852,0.04061788478421502,0.10198949951587592,0.08278648187246156,-0.10444689475539015,0.0028027060090241294,0.0313,1.04747723310269,-0.04747723310269003,0.0014538512367459836
136,16.24,1993-05-31,1700.9300537109375,0.08449918467570416,-0.030781446174499405,0.7018227606653917,e)Below18.8,e)Below18.8,13.912,16.259999999999998,18.408,21.054,4,3.0,2.0,3.0,0.061576354679802964,0.0564652738565782,0.04063431596738016,0.1019581983907048,0.08111829948709509,-0.031265146779437446,0.5316998888093848,0.0325,1.0833456823223044,-0.08334568232230444,0.7576079228468973
137,16.77,1993-06-30,1823.0699462890625,0.09117029776342256,0.13340459521505688,1.298277805713107,e)Below18.8,e)Below18.8,13.914,16.279999999999998,18.396,21.048,3,3.0,3.0,4.0,0.05963029218843172,0.05649719317475603,0.04065074715054529,0.10192689726553371,0.08725078794501046,0.12522601910819173,0.8321600623345118,0.0319,1.0511308071377892,-0.05113080713778917,1.3630287250606004
138,17.44,1993-07-31,1931.8800048828125,0.10560236245455634,0.2626914526923574,1.0050342244111512,e)Below18.8,e)Below18.8,13.916,16.291999999999998,18.382,21.042,3,2.0,4.0,3.0,0.0573394495412844,0.05652911249293386,0.040667178333710426,0.10189559614036259,0.10039031083665216,0.2332455163672482,0.695661130144596,0.0319,1.0132346560205008,-0.013234656020500779,1.0179133211330098
139,18.75,1993-08-31,1910.22998046875,0.08787698291927004,0.29939665250543945,-0.12649355743687019,e)Below18.8,e)Below18.8,13.918,16.296,18.402,21.036,2,2.0,3.0,3.0,0.05333333333333334,0.05649719317475603,0.040683609516875566,0.10186429501519147,0.08422807487138802,0.26190004327615096,-0.13523977386209432,0.0319,0.9482866232103629,0.051713376789637056,-0.1183024917200863
140,18.5,1993-09-30,2064.97998046875,0.09558233323607257,0.38619025966326426,1.5466089711455235,e)Below18.8,e)Below18.8,13.92,16.3,18.42,21.03,2,2.0,4.0,2.0,0.05405405405405406,0.0564652738565782,0.0407000407000407,0.10183299389002036,0.09128603308151316,0.3265591638310238,0.9347626589443346,0.0319,0.9605577732351499,0.0394422267648501,1.486865476422849
141,20.27,1993-10-31,2052.919921875,0.10016260715583258,0.32864756676668283,-0.0678754145427175,d)18.8to20.4,e)Below18.8,13.924,16.348000000000003,18.468,21.024,2,2.0,4.0,2.0,0.0493339911198816,0.05643342655039852,0.04073628970066418,0.10181748632749903,0.09545799356645297,0.28416155778084656,-0.07028879784695347,0.0319,0.8837705247673894,0.11622947523261062,-0.056278570469301265
