,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Value
42,17.06,1985-07-31,,,,,e)Below18.8,,9.958,12.452,13.741999999999999,14.606,1,,3.0,1.0,0.0586166471277843,0.07662835249042145,0.059107305993781986,0.10840373955300833,
43,18.69,1985-08-31,,,,,e)Below18.8,,10.011999999999999,12.506,13.868,14.686,1,,2.0,1.0,0.05350454788657035,0.07654047593940033,0.05865287283672142,0.1081986452381088,
44,20.09,1985-09-30,,,,,d)18.8to20.4,,10.065999999999999,12.538,13.914,14.926000000000002,1,,1.0,1.0,0.049776007964161276,0.0764525993883792,0.056020117908391856,0.10799355092320925,
45,22.49,1985-10-31,,,,,c)20.4to22.7,,10.12,12.57,13.92,15.43,1,,1.0,1.0,0.0444642063139173,0.07622022066683398,0.0539711573158137,0.10778845660830974,
46,21.97,1985-11-30,,,,,c)20.4to22.7,,10.122,12.606,13.932,15.574,1,,1.0,1.0,0.04551661356395084,0.07598784194528875,0.050894569940883996,0.10758336229341019,
47,24.57,1985-12-31,,,,,b)22.7to29.5,,10.124,12.642,13.953999999999999,15.676,1,,1.0,1.0,0.0407000407000407,0.07558790593505038,0.047007401604024494,0.10737826797851066,
48,24.77,1986-01-31,,,,,b)22.7to29.5,,10.126,12.706000000000001,13.995999999999999,15.952000000000004,1,,1.0,1.0,0.04037141703673799,0.07518796992481203,0.044885169213930716,0.10717317366361111,8.06
49,24.08,1986-02-28,,,,,b)22.7to29.5,,10.128,12.798,14.026,16.438000000000002,1,,1.0,1.0,0.04152823920265781,0.07409033532736953,0.04284942440272458,0.1069680793487116,7.94
50,25.85,1986-03-31,,,,,b)22.7to29.5,,10.13,12.89,14.05,16.99,1,,1.0,1.0,0.03868471953578336,0.07299270072992702,0.04111413995134926,0.10676298503381207,7.5
51,27.24,1986-04-30,,,,,b)22.7to29.5,,10.174000000000001,12.954,14.134,17.046,1,,1.0,1.0,0.03671071953010279,0.0724417134131303,0.04055216005155448,0.10655789071891252,6.94
