,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Equity_Weight
132,15.86,1993-01-31,1680.02001953125,0.11015564320275532,-0.0382078762172543,0.8079589680466199,e)Below18.8,e)Below18.8,13.784,16.041999999999998,18.554,21.174,4,4.0,2.0,4.0,0.06305170239596469,0.0563063063063063,0.04056859123471961,0.10208340289138926,1.1096548279673881
133,17.03,1993-02-28,1676.8399658203125,0.11569098776952699,-0.024156900721851282,-0.022714398690259596,e)Below18.8,e)Below18.8,13.826,16.122,18.516,21.136,3,3.0,2.0,4.0,0.05871990604815032,0.05635394277526257,0.04058502241788475,0.10205210176621815,1.0384915518676243
134,16.9,1993-03-31,1626.8299560546875,0.11011750010267836,-0.05859649194685157,-0.35788753215571223,e)Below18.8,e)Below18.8,13.868,16.206,18.468,21.098,3,3.0,2.0,3.0,0.0591715976331361,0.05640157924421884,0.040601453601049886,0.10202080064104704,1.0451000950419318
135,16.85,1993-04-30,1627.2099609375,0.10255097507242272,-0.09917736545697198,0.0028030333328805668,e)Below18.8,e)Below18.8,13.91,16.29,18.42,21.06,3,3.0,2.0,3.0,0.05934718100890207,0.05643342655039852,0.04061788478421502,0.10198949951587592,1.04747723310269
136,16.24,1993-05-31,1700.9300537109375,0.10003791919443353,-0.030781446174499405,0.5436551732829704,e)Below18.8,e)Below18.8,13.912,16.259999999999998,18.408,21.054,4,3.0,2.0,3.0,0.061576354679802964,0.0564652738565782,0.04063431596738016,0.1019581983907048,1.0833456823223044
137,16.77,1993-06-30,1823.0699462890625,0.10938031292706692,0.13340459521505688,0.861692523887041,e)Below18.8,e)Below18.8,13.914,16.279999999999998,18.396,21.048,3,3.0,3.0,4.0,0.05963029218843172,0.05649719317475603,0.04065074715054529,0.10192689726553371,1.0511308071377892
138,17.44,1993-07-31,1931.8800048828125,0.13038839625327864,0.2626914526923574,0.7162208481264543,e)Below18.8,e)Below18.8,13.916,16.291999999999998,18.382,21.042,3,2.0,4.0,3.0,0.0573394495412844,0.05652911249293386,0.040667178333710426,0.10189559614036259,1.0132346560205008
139,18.75,1993-08-31,1910.22998046875,0.10473963030908906,0.29939665250543945,-0.1344805538191336,e)Below18.8,e)Below18.8,13.918,16.296,18.402,21.036,2,2.0,3.0,3.0,0.05333333333333334,0.05649719317475603,0.040683609516875566,0.10186429501519147,0.9482866232103629
140,18.5,1993-09-30,2064.97998046875,0.11568583687655262,0.38619025966326426,0.9721342555540415,e)Below18.8,e)Below18.8,13.92,16.3,18.42,21.03,2,2.0,4.0,2.0,0.05405405405405406,0.0564652738565782,0.0407000407000407,0.10183299389002036,0.9605577732351499
141,20.27,1993-10-31,2052.919921875,0.1223401435334341,0.32864756676668283,-0.07008334438775021,d)18.8to20.4,e)Below18.8,13.924,16.348000000000003,18.468,21.024,2,2.0,4.0,2.0,0.0493339911198816,0.05643342655039852,0.04073628970066418,0.10181748632749903,0.8837705247673894
142,20.2,1993-11-30,2255.2900390625,0.13908272587087156,0.46596852656536614,1.1829206684457638,d)18.8to20.4,e)Below18.8,13.927999999999999,16.396,18.508,21.018,2,2.0,4.0,2.0,0.04950495049504951,0.05640157924421884,0.040772538701287664,0.10180197876497772,0.8869950512085308
143,19.92,1993-12-31,2192.60009765625,0.13112345081243948,0.3929760636598323,-0.33356210680011467,d)18.8to20.4,e)Below18.8,13.932,16.476000000000003,18.532,21.012,2,2.0,4.0,2.0,0.0502008032128514,0.05635394277526257,0.040808787701911146,0.10178647120245639,0.8990919429998329
144,20.87,1994-01-31,2103.239990234375,0.12613680157789733,0.2519136473273751,-0.4890637787568939,c)20.4to22.7,e)Below18.8,13.936,16.588,18.567999999999998,21.006,2,2.0,4.0,2.0,0.0479156684235745,0.0563063063063063,0.04084503670253463,0.10177096363993507,0.8622813257916794
145,20.22,1994-02-28,2142.8798828125,0.12470828785723724,0.2779274865172958,0.22616473305288043,d)18.8to20.4,e)Below18.8,13.94,16.7,18.61,21.0,2,2.0,3.0,2.0,0.04945598417408507,0.05607051775393483,0.04088128570315811,0.10175545607741375,0.8913408833470177
146,19.98,1994-03-31,2252.510009765625,0.1278667208711764,0.38460076997125614,0.6139221960079473,d)18.8to20.4,e)Below18.8,13.954,16.728,18.658,20.994,2,2.0,3.0,2.0,0.050050050050050046,0.05583472920156337,0.040917534703781594,0.10173994851489242,0.904892312076299
147,20.35,1994-04-30,2137.340087890625,0.1038044154393412,0.31349987967085635,-0.6135551258410623,d)18.8to20.4,e)Below18.8,13.968,16.756,18.69,20.988,2,2.0,3.0,2.0,0.04914004914004914,0.05560285740255356,0.040953783704405076,0.1017244409523711,0.8936524869867072
148,20.52,1994-05-31,2020.8499755859375,0.07360176759918242,0.18808528967844818,-0.6540285074781154,c)20.4to22.7,e)Below18.8,13.982,16.786,18.69,20.982,2,2.0,4.0,2.0,0.04873294346978558,0.05537098560354375,0.04099003270502856,0.10170893338984978,0.890675851194757
149,20.05,1994-06-30,2152.18994140625,0.07793861440252758,0.18053064600572544,0.7799092505057281,d)18.8to20.4,d)18.8to20.4,13.996,16.818,18.706,20.976,2,2.0,3.0,2.0,0.04987531172069825,0.055325072680157725,0.04102628170565204,0.10169342582732845,0.9101694823720526
150,20.63,1994-07-31,2207.090087890625,0.07680317996733259,0.14245713103930946,0.30610762792713153,c)20.4to22.7,d)18.8to20.4,14.01,16.85,18.73,20.97,2,2.0,3.0,2.0,0.048473097430925836,0.055279159756771695,0.041062530706275524,0.10167791826480713,0.8877172513452336
151,21.36,1994-08-31,2002.300048828125,0.054966132296878675,0.04819842076647851,-1.1134481923656687,c)20.4to22.7,c)20.4to22.7,14.018,16.87,18.742,20.994,1,2.0,2.0,2.0,0.04681647940074907,0.05523339886293331,0.041098779706899013,0.10166241070228581,0.86102353303709
152,19.69,1994-09-30,2061.580078125,0.08146935700735361,-0.0016464577748488418,0.3552716047621498,d)18.8to20.4,c)20.4to22.7,14.026,16.89,18.754,20.988,2,2.0,2.0,1.0,0.05078720162519045,0.05518763796909492,0.041135028707522496,0.10164690313976449,0.9272797878897001
153,19.84,1994-10-31,2057.280029296875,0.06436221614070652,0.0021238565495982353,-0.025029629692788546,d)18.8to20.4,d)18.8to20.4,14.034,16.918,18.766,20.982,2,2.0,2.0,2.0,0.05040322580645162,0.05512685863212455,0.04117127770814598,0.10163139557724317,0.9218719216542033
154,20.14,1994-11-30,2097.510009765625,0.03592446128782081,-0.06995997258182474,0.2346592387765476,d)18.8to20.4,c)20.4to22.7,14.042,16.953999999999997,18.778,20.976,2,2.0,2.0,2.0,0.04965243296921549,0.05506607929515418,0.04120752670876946,0.10161588801472184,0.9103824998907021
155,19.86,1994-12-31,2024.8199462890625,0.022359858524686603,-0.07652109089410963,-0.4158648862973573,d)18.8to20.4,b)22.7to29.5,14.05,16.99,18.79,20.97,2,1.0,2.0,2.0,0.050352467270896276,0.0549754106684333,0.041243775709392944,0.10160038045220052,0.923406172079487
156,20.34,1995-01-31,2097.85009765625,0.03223904086463212,-0.0025626617043946753,0.43280975081877404,d)18.8to20.4,b)22.7to29.5,14.066,16.994,18.838,20.95,2,1.0,2.0,2.0,0.049164208456243856,0.054884742041712405,0.041280024710016426,0.1015848728896792,0.9051397398692441
157,20.72,1995-02-28,1914.68994140625,-0.005294018923986265,-0.10648750927968664,-1.0477020629145777,c)20.4to22.7,b)22.7to29.5,14.082,16.998,18.886,20.93,2,1.0,2.0,2.0,0.04826254826254826,0.054824627318775146,0.04131627371063991,0.10156936532715788,0.8910914132341728
