Data,Wartosc
20/09/2021,0.08
21/09/2021,0.08
22/09/2021,0.08
23/09/2021,0.09
24/09/2021,0.09
27/09/2021,0.09
28/09/2021,0.08
29/09/2021,0.08
30/09/2021,0.08
01/10/2021,0.08
04/10/2021,0.08
05/10/2021,0.09
06/10/2021,0.09
07/10/2021,0.09
08/10/2021,0.08
12/10/2021,0.09
13/10/2021,0.09
14/10/2021,0.09
15/10/2021,0.08
18/10/2021,0.09
19/10/2021,0.09
20/10/2021,0.09
21/10/2021,0.09
22/10/2021,0.09
25/10/2021,0.09
26/10/2021,0.09
27/10/2021,0.09
28/10/2021,0.09
29/10/2021,0.09
01/11/2021,0.08
02/11/2021,0.08
03/11/2021,0.09
04/11/2021,0.09
05/11/2021,0.09
08/11/2021,0.09
09/11/2021,0.09
10/11/2021,0.09
12/11/2021,0.09
15/11/2021,0.09
16/11/2021,0.09
17/11/2021,0.09
18/11/2021,0.09
19/11/2021,0.09
22/11/2021,0.09
23/11/2021,0.09
24/11/2021,0.09
26/11/2021,0.09
29/11/2021,0.1
30/11/2021,0.09
01/12/2021,0.1
02/12/2021,0.1
03/12/2021,0.1
06/12/2021,0.1
07/12/2021,0.1
08/12/2021,0.1
09/12/2021,0.1
10/12/2021,0.11
13/12/2021,0.11
14/12/2021,0.11
15/12/2021,0.11
16/12/2021,0.1
17/12/2021,0.1
20/12/2021,0.1
21/12/2021,0.1
22/12/2021,0.1
23/12/2021,0.1
24/12/2021,0.1
29/12/2021,0.1
30/12/2021,0.1
31/12/2021,0.1
04/01/2022,0.1
05/01/2022,0.1
06/01/2022,0.1
07/01/2022,0.11
10/01/2022,0.1
11/01/2022,0.11
12/01/2022,0.11
13/01/2022,0.11
14/01/2022,0.1
17/01/2022,0.1
18/01/2022,0.1
19/01/2022,0.11
20/01/2022,0.11
21/01/2022,0.11
24/01/2022,0.11
25/01/2022,0.11
26/01/2022,0.11
27/01/2022,0.1
28/01/2022,0.11
31/01/2022,0.11
01/02/2022,0.11
02/02/2022,0.11
03/02/2022,0.11
04/02/2022,0.12
07/02/2022,0.12
08/02/2022,0.13
09/02/2022,0.12
10/02/2022,0.12
11/02/2022,0.19
14/02/2022,0.13
15/02/2022,0.12
16/02/2022,0.14
17/02/2022,0.16
18/02/2022,0.17
21/02/2022,0.16
22/02/2022,0.18
23/02/2022,0.19
24/02/2022,0.21
25/02/2022,0.23
28/02/2022,0.24
01/03/2022,0.23
02/03/2022,0.24
03/03/2022,0.29
04/03/2022,0.31
07/03/2022,0.31
08/03/2022,0.32
09/03/2022,0.35
10/03/2022,0.39
11/03/2022,0.4
14/03/2022,0.43
15/03/2022,0.44
16/03/2022,0.47
17/03/2022,0.45
18/03/2022,0.45
21/03/2022,0.44
22/03/2022,0.45
23/03/2022,0.46
24/03/2022,0.45
25/03/2022,0.45
28/03/2022,0.45
29/03/2022,0.46
30/03/2022,0.46
31/03/2022,0.45
01/04/2022,0.44
04/04/2022,0.43
05/04/2022,0.45
06/04/2022,0.45
07/04/2022,0.49
08/04/2022,0.51
11/04/2022,0.52
12/04/2022,0.55
13/04/2022,0.55
14/04/2022,0.59
19/04/2022,0.62
20/04/2022,0.63
21/04/2022,0.67
22/04/2022,0.7
29/04/2022,0.8
03/05/2022,0.83
04/05/2022,0.85
05/05/2022,0.84
06/05/2022,0.84
09/05/2022,0.84
10/05/2022,0.84
11/05/2022,0.85
12/05/2022,0.87
13/05/2022,0.89
16/05/2022,0.94
17/05/2022,0.93
18/05/2022,0.93
19/05/2022,0.96
20/05/2022,0.97
23/05/2022,1.01
24/05/2022,1.02
25/05/2022,1.02
26/05/2022,1.06
27/05/2022,1.06
30/05/2022,1.06
31/05/2022,1.12
01/06/2022,1.12
06/06/2022,1.16
07/06/2022,1.19
08/06/2022,1.2
09/06/2022,1.25
10/06/2022,1.28
13/06/2022,1.32
14/06/2022,1.51
15/06/2022,1.52
16/06/2022,1.6
17/06/2022,1.61
20/06/2022,1.63
21/06/2022,1.64
22/06/2022,1.63
23/06/2022,1.62
24/06/2022,1.63
27/06/2022,1.65
28/06/2022,1.67
29/06/2022,1.71
30/06/2022,1.79
01/07/2022,1.8
04/07/2022,1.78
05/07/2022,1.79
06/07/2022,1.81
07/07/2022,1.87
08/07/2022,1.9
11/07/2022,1.96
12/07/2022,1.97
13/07/2022,2
14/07/2022,2.16
15/07/2022,2.12
18/07/2022,2.13
19/07/2022,2.16
20/07/2022,2.21
21/07/2022,2.26
22/07/2022,2.25
25/07/2022,2.3
26/07/2022,2.35
27/07/2022,2.37
28/07/2022,2.37
29/07/2022,2.36
01/08/2022,2.37
02/08/2022,2.36
03/08/2022,2.38
04/08/2022,2.37
05/08/2022,2.37
08/08/2022,2.39
09/08/2022,2.38
10/08/2022,2.4
11/08/2022,2.39
12/08/2022,2.39
15/08/2022,2.38
16/08/2022,2.38
17/08/2022,2.37
18/08/2022,2.37
19/08/2022,2.39
22/08/2022,2.43
23/08/2022,2.44
24/08/2022,2.45
25/08/2022,2.49
26/08/2022,2.52
30/08/2022,2.56
31/08/2022,2.55
01/09/2022,2.63
02/09/2022,2.66
05/09/2022,2.64
06/09/2022,2.68
07/09/2022,2.7
08/09/2022,2.76
09/09/2022,2.77
12/09/2022,2.78
13/09/2022,2.82
14/09/2022,2.94
15/09/2022,2.99
16/09/2022,3.01
20/09/2022,3.05
21/09/2022,3.06
22/09/2022,3.08
23/09/2022,3.08
26/09/2022,3.11
27/09/2022,3.12
28/09/2022,3.12
29/09/2022,3.13
30/09/2022,3.14
03/10/2022,3.17
04/10/2022,3.19
05/10/2022,3.2
06/10/2022,3.3
07/10/2022,3.31
10/10/2022,3.32
11/10/2022,3.35
12/10/2022,3.34
13/10/2022,3.41
14/10/2022,3.44
17/10/2022,3.48
18/10/2022,3.49
19/10/2022,3.5
20/10/2022,3.57
21/10/2022,3.59
24/10/2022,3.58
25/10/2022,3.6
26/10/2022,3.63
27/10/2022,3.75
28/10/2022,3.77
31/10/2022,3.8
01/11/2022,3.84
02/11/2022,3.84
03/11/2022,3.85
04/11/2022,3.86
07/11/2022,3.86
08/11/2022,3.86
09/11/2022,3.88
10/11/2022,3.87
11/11/2022,3.88
14/11/2022,3.89
15/11/2022,3.9
16/11/2022,3.91
17/11/2022,3.94
18/11/2022,3.96
21/11/2022,3.98
22/11/2022,4.02
23/11/2022,4.04
24/11/2022,4.03
25/11/2022,4.05
28/11/2022,4.07
29/11/2022,4.12
30/11/2022,4.14
01/12/2022,4.17
02/12/2022,4.18
05/12/2022,4.22
06/12/2022,4.22
07/12/2022,4.24
08/12/2022,4.27
09/12/2022,4.27
12/12/2022,4.29
13/12/2022,4.32
14/12/2022,4.33
15/12/2022,4.34
16/12/2022,4.35
19/12/2022,4.35
20/12/2022,4.36
21/12/2022,4.39
22/12/2022,4.39
23/12/2022,4.39
28/12/2022,4.38
29/12/2022,4.37
30/12/2022,4.39
03/01/2023,4.4
04/01/2023,4.38
05/01/2023,4.4
06/01/2023,4.4
09/01/2023,4.4
10/01/2023,4.43
11/01/2023,4.42
12/01/2023,4.46
13/01/2023,4.45
16/01/2023,4.46
17/01/2023,4.47
18/01/2023,4.49
19/01/2023,4.51
20/01/2023,4.51
23/01/2023,4.51
24/01/2023,4.52
25/01/2023,4.52
26/01/2023,4.55
27/01/2023,4.57
30/01/2023,4.57
31/01/2023,4.57
01/02/2023,4.58
02/02/2023,4.58
03/02/2023,4.57
06/02/2023,4.59
07/02/2023,4.58
08/02/2023,4.58
09/02/2023,4.57
10/02/2023,4.58
13/02/2023,4.59
14/02/2023,4.59
15/02/2023,4.6
16/02/2023,4.6
17/02/2023,4.59
20/02/2023,4.59
21/02/2023,4.59
22/02/2023,4.6
23/02/2023,4.62
24/02/2023,4.63
27/02/2023,4.66
28/02/2023,4.67
01/03/2023,4.67
02/03/2023,4.7
03/03/2023,4.71
06/03/2023,4.71
07/03/2023,4.72
08/03/2023,4.76
09/03/2023,4.81
10/03/2023,4.8
13/03/2023,4.68
14/03/2023,4.73
15/03/2023,4.71
16/03/2023,4.76
17/03/2023,4.78
20/03/2023,4.75
21/03/2023,4.78
22/03/2023,4.8
23/03/2023,4.85
24/03/2023,4.83
27/03/2023,4.85
28/03/2023,4.86
29/03/2023,4.84
30/03/2023,4.85
31/03/2023,4.86
03/04/2023,4.86
04/04/2023,4.87
05/04/2023,4.89
06/04/2023,4.9
11/04/2023,4.94
12/04/2023,4.95
13/04/2023,4.95
14/04/2023,4.96
17/04/2023,4.95
18/04/2023,4.95
19/04/2023,4.98
20/04/2023,5.01
21/04/2023,5.02
24/04/2023,5.02
25/04/2023,5.02
26/04/2023,5.02
27/04/2023,5.03
28/04/2023,5.06
02/05/2023,5.09
03/05/2023,5.08
04/05/2023,5.1
05/05/2023,5.1
09/05/2023,5.11
10/05/2023,5.11
11/05/2023,5.11
12/05/2023,5.11
15/05/2023,5.11
16/05/2023,5.11
17/05/2023,5.13
18/05/2023,5.15
19/05/2023,5.14
22/05/2023,5.13
23/05/2023,5.14
24/05/2023,5.14
25/05/2023,5.16
26/05/2023,5.15
30/05/2023,5.17
31/05/2023,5.19
01/06/2023,5.16
02/06/2023,5.19
