Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2022-10-28","3,77","+0,37"
"2022-10-27","3,75","+3,35"
"2022-10-26","3,63","+1,00"
"2022-10-25","3,60","+0,56"
"2022-10-24","3,58","-0,25"
"2022-10-21","3,59","+0,37"
"2022-10-20","3,57","+2,05"
"2022-10-19","3,50","+0,33"
"2022-10-18","3,49","+0,27"
"2022-10-17","3,48","+1,07"
"2022-10-14","3,44","+0,90"
"2022-10-13","3,41","+2,20"
"2022-10-12","3,34","-0,21"
"2022-10-11","3,35","+0,87"
"2022-10-10","3,32","+0,09"
"2022-10-07","3,31","+0,40"
"2022-10-06","3,30","+3,19"
"2022-10-05","3,20","+0,39"
"2022-10-04","3,19","+0,36"
"2022-10-03","3,17","+1,01"
"2022-09-30","3,14","+0,47"
"2022-09-29","3,13","+0,40"
"2022-09-28","3,12","-0,17"
"2022-09-27","3,12","+0,24"
"2022-09-26","3,11","+1,07"
"2022-09-23","3,08","-0,12"
"2022-09-22","3,08","+0,82"
"2022-09-21","3,06","+0,23"
"2022-09-20","3,05","+1,26"
"2022-09-16","3,01","+0,68"
"2022-09-15","2,99","+1,85"
"2022-09-14","2,94","+4,31"
"2022-09-13","2,82","+1,23"
"2022-09-12","2,78","+0,37"
"2022-09-09","2,77","+0,61"
"2022-09-08","2,76","+1,92"
"2022-09-07","2,70","+0,73"
"2022-09-06","2,68","+1,59"
"2022-09-05","2,64","-0,48"
"2022-09-02","2,66","+0,85"
"2022-09-01","2,63","+3,13"
"2022-08-31","2,55","-0,41"
"2022-08-30","2,56","+1,59"
"2022-08-26","2,52","+1,22"
"2022-08-25","2,49","+1,57"
"2022-08-24","2,45","+0,46"
"2022-08-23","2,44","+0,67"
"2022-08-22","2,43","+1,71"
"2022-08-19","2,39","+0,78"
"2022-08-18","2,37","+0,11"
Liczba wierszy ograniczona do 50
