Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2022-08-18","2,37","+0,11"
"2022-08-17","2,37","-0,48"
"2022-08-16","2,38","-0,11"
"2022-08-15","2,38","-0,30"
"2022-08-12","2,39","-0,17"
"2022-08-11","2,39","-0,39"
"2022-08-10","2,40","+0,85"
"2022-08-09","2,38","-0,35"
"2022-08-08","2,39","+0,81"
"2022-08-05","2,37","-0,14"
"2022-08-04","2,37","-0,15"
"2022-08-03","2,38","+0,81"
"2022-08-02","2,36","-0,40"
"2022-08-01","2,37","+0,19"
"2022-07-29","2,36","-0,46"
"2022-07-28","2,37","+0,04"
"2022-07-27","2,37","+1,12"
"2022-07-26","2,35","+2,01"
"2022-07-25","2,30","+2,11"
"2022-07-22","2,25","-0,30"
"2022-07-21","2,26","+2,05"
"2022-07-20","2,21","+2,41"
"2022-07-19","2,16","+1,65"
"2022-07-18","2,13","+0,29"
"2022-07-15","2,12","-1,66"
"2022-07-14","2,16","+7,85"
"2022-07-13","2,00","+1,41"
"2022-07-12","1,97","+0,36"
"2022-07-11","1,96","+3,41"
"2022-07-08","1,90","+1,47"
"2022-07-07","1,87","+3,61"
"2022-07-06","1,81","+0,89"
"2022-07-05","1,79","+0,77"
"2022-07-04","1,78","-1,13"
"2022-07-01","1,80","+0,61"
"2022-06-30","1,79","+4,29"
"2022-06-29","1,71","+2,82"
"2022-06-28","1,67","+0,84"
"2022-06-27","1,65","+1,20"
"2022-06-24","1,63","+0,56"
"2022-06-23","1,62","-0,56"
"2022-06-22","1,63","-0,54"
"2022-06-21","1,64","+0,94"
"2022-06-20","1,63","+0,87"
"2022-06-17","1,61","+1,08"
"2022-06-16","1,60","+4,71"
"2022-06-15","1,52","+0,94"
"2022-06-14","1,51","+13,99"
"2022-06-13","1,32","+3,26"
"2022-06-10","1,28","+2,19"
Liczba wierszy ograniczona do 50
