Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2023-03-20","4,75","-0,53"
"2023-03-17","4,78","+0,34"
"2023-03-16","4,76","+1,12"
"2023-03-15","4,71","-0,40"
"2023-03-14","4,73","+0,92"
"2023-03-13","4,68","-2,38"
"2023-03-10","4,80","-0,15"
"2023-03-09","4,81","+0,97"
"2023-03-08","4,76","+0,86"
"2023-03-07","4,72","+0,16"
"2023-03-06","4,71","+0,05"
"2023-03-03","4,71","+0,16"
"2023-03-02","4,70","+0,61"
"2023-03-01","4,67","+0,08"
"2023-02-28","4,67","+0,16"
"2023-02-27","4,66","+0,59"
"2023-02-24","4,63","+0,39"
"2023-02-23","4,62","+0,28"
"2023-02-22","4,60","+0,27"
"2023-02-21","4,59","-0,02"
"2023-02-20","4,59","+0,03"
"2023-02-17","4,59","-0,14"
"2023-02-16","4,60","-0,08"
"2023-02-15","4,60","+0,25"
"2023-02-14","4,59","+0,05"
"2023-02-13","4,59","+0,22"
"2023-02-10","4,58","+0,12"
"2023-02-09","4,57","-0,05"
"2023-02-08","4,58","-0,12"
"2023-02-07","4,58","-0,17"
"2023-02-06","4,59","+0,36"
"2023-02-03","4,57","-0,18"
"2023-02-02","4,58","+0,11"
"2023-02-01","4,58","+0,02"
"2023-01-31","4,57","+0,19"
"2023-01-30","4,57","-0,09"
"2023-01-27","4,57","+0,49"
"2023-01-26","4,55","+0,66"
"2023-01-25","4,52","+0,03"
"2023-01-24","4,52","+0,23"
"2023-01-23","4,51","-0,16"
"2023-01-20","4,51","+0,10"
"2023-01-19","4,51","+0,51"
"2023-01-18","4,49","+0,35"
"2023-01-17","4,47","+0,12"
"2023-01-16","4,46","+0,23"
"2023-01-13","4,45","-0,10"
"2023-01-12","4,46","+0,80"
"2023-01-11","4,42","-0,15"
"2023-01-10","4,43","+0,58"
Liczba wierszy ograniczona do 50
