Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2021-08-17","0,09","-2,26"
"2021-08-16","0,09","-4,58"
"2021-08-13","0,09","-2,88"
"2021-08-12","0,10","-1,17"
"2021-08-11","0,10","+0,13"
"2021-08-10","0,10","+1,31"
"2021-08-09","0,10","+0,13"
"2021-08-06","0,10","-0,65"
"2021-08-05","0,10","+7,28"
"2021-08-04","0,09","-1,25"
"2021-08-03","0,09","+0,84"
"2021-08-02","0,09","-0,96"
"2021-07-30","0,09","-1,63"
"2021-07-28","0,09","+2,07"
"2021-07-27","0,09","+3,30"
"2021-07-26","0,09","+1,30"
"2021-07-23","0,09","-3,50"
"2021-07-22","0,09","+3,02"
"2021-07-21","0,09","-2,66"
"2021-07-20","0,09","+4,40"
"2021-07-19","0,09","+1,94"
"2021-07-16","0,08","-6,17"
"2021-07-15","0,09","-2,19"
"2021-07-14","0,09","-2,15"
"2021-07-13","0,09","-2,74"
"2021-07-12","0,10","-4,37"
"2021-07-09","0,10","-0,25"
"2021-07-08","0,10","-2,43"
"2021-07-07","0,10","+0,73"
"2021-07-06","0,10","-0,73"
"2021-07-02","0,10","+0,37"
"2021-07-01","0,10","+1,99"
"2021-06-30","0,10","+0,25"
"2021-06-29","0,10","-3,84"
"2021-06-28","0,10","+8,45"
"2021-06-25","0,10","+1,19"
"2021-06-24","0,10","+3,83"
"2021-06-23","0,09","+0,83"
"2021-06-22","0,09","-5,35"
"2021-06-21","0,10","+5,36"
"2021-06-18","0,09","-2,55"
"2021-06-17","0,09","+13,19"
"2021-06-16","0,08","+0,92"
"2021-06-15","0,08","+9,54"
"2021-06-14","0,07","+2,40"
"2021-06-11","0,07","+0,34"
"2021-06-10","0,07","-2,68"
"2021-06-09","0,07","-3,08"
"2021-06-08","0,08","-5,23"
"2021-06-07","0,08","+0,00"
Liczba wierszy ograniczona do 50
