Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2023-01-10","4,43","+0,58"
"2023-01-09","4,40","+0,06"
"2023-01-06","4,40","+0,15"
"2023-01-05","4,40","+0,25"
"2023-01-04","4,38","-0,39"
"2023-01-03","4,40","+0,22"
"2022-12-30","4,39","+0,52"
"2022-12-29","4,37","-0,34"
"2022-12-28","4,38","-0,07"
"2022-12-23","4,39","-0,04"
"2022-12-22","4,39","+0,07"
"2022-12-21","4,39","+0,56"
"2022-12-20","4,36","+0,17"
"2022-12-19","4,35","+0,02"
"2022-12-16","4,35","+0,32"
"2022-12-15","4,34","+0,30"
"2022-12-14","4,33","+0,20"
"2022-12-13","4,32","+0,60"
"2022-12-12","4,29","+0,51"
"2022-12-09","4,27","-0,09"
"2022-12-08","4,27","+0,90"
"2022-12-07","4,24","+0,35"
"2022-12-06","4,22","+0,10"
"2022-12-05","4,22","+0,77"
"2022-12-02","4,18","+0,30"
"2022-12-01","4,17","+0,73"
"2022-11-30","4,14","+0,53"
"2022-11-29","4,12","+1,20"
"2022-11-28","4,07","+0,41"
"2022-11-25","4,05","+0,63"
"2022-11-24","4,03","-0,36"
"2022-11-23","4,04","+0,68"
"2022-11-22","4,02","+0,93"
"2022-11-21","3,98","+0,56"
"2022-11-18","3,96","+0,46"
"2022-11-17","3,94","+0,71"
"2022-11-16","3,91","+0,18"
"2022-11-15","3,90","+0,44"
"2022-11-14","3,89","+0,29"
"2022-11-11","3,88","+0,06"
"2022-11-10","3,87","-0,14"
"2022-11-09","3,88","+0,51"
"2022-11-08","3,86","+0,09"
"2022-11-07","3,86","-0,08"
"2022-11-04","3,86","+0,30"
"2022-11-03","3,85","+0,28"
"2022-11-02","3,84","-0,15"
"2022-11-01","3,84","+0,96"
"2022-10-31","3,80","+0,99"
"2022-10-28","3,77","+0,37"
Liczba wierszy ograniczona do 50
