Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2022-03-22","0,45","+2,45"
"2022-03-21","0,44","-0,58"
"2022-03-18","0,45","-0,45"
"2022-03-17","0,45","-4,06"
"2022-03-16","0,47","+5,92"
"2022-03-15","0,44","+2,52"
"2022-03-14","0,43","+8,57"
"2022-03-11","0,40","+2,47"
"2022-03-10","0,39","+10,03"
"2022-03-09","0,35","+9,52"
"2022-03-08","0,32","+4,85"
"2022-03-07","0,31","-1,24"
"2022-03-04","0,31","+7,26"
"2022-03-03","0,29","+19,27"
"2022-03-02","0,24","+3,35"
"2022-03-01","0,23","-2,84"
"2022-02-28","0,24","+4,71"
"2022-02-25","0,23","+10,55"
"2022-02-24","0,21","+11,62"
"2022-02-23","0,19","+6,25"
"2022-02-22","0,18","+8,56"
"2022-02-21","0,16","-5,10"
"2022-02-18","0,17","+5,57"
"2022-02-17","0,16","+18,29"
"2022-02-16","0,14","+14,20"
"2022-02-15","0,12","-4,77"
"2022-02-14","0,13","-34,23"
"2022-02-11","0,19","+54,51"
"2022-02-10","0,12","+0,81"
"2022-02-09","0,12","-2,39"
"2022-02-08","0,13","+0,80"
"2022-02-07","0,12","+8,17"
"2022-02-04","0,12","+3,59"
"2022-02-03","0,11","+2,91"
"2022-02-02","0,11","-4,30"
"2022-02-01","0,11","+5,75"
"2022-01-31","0,11","+0,54"
"2022-01-28","0,11","+1,23"
"2022-01-27","0,10","-3,79"
"2022-01-26","0,11","+1,19"
"2022-01-25","0,11","-0,53"
"2022-01-24","0,11","+0,67"
"2022-01-21","0,11","-1,45"
"2022-01-20","0,11","+0,14"
"2022-01-19","0,11","+5,24"
"2022-01-18","0,10","+0,69"
"2022-01-17","0,10","-0,28"
"2022-01-14","0,10","-2,82"
"2022-01-13","0,11","-3,50"
"2022-01-12","0,11","-2,53"
Liczba wierszy ograniczona do 50
