Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2021-10-28","0,09","-0,71"
"2021-10-27","0,09","+0,00"
"2021-10-26","0,09","-0,85"
"2021-10-25","0,09","-0,15"
"2021-10-22","0,09","-1,54"
"2021-10-21","0,09","+4,08"
"2021-10-20","0,09","+0,14"
"2021-10-19","0,09","+0,00"
"2021-10-18","0,09","+6,53"
"2021-10-15","0,08","-6,40"
"2021-10-14","0,09","-4,84"
"2021-10-13","0,09","+2,70"
"2021-10-12","0,09","+5,08"
"2021-10-08","0,08","-2,76"
"2021-10-07","0,09","-1,30"
"2021-10-06","0,09","+1,61"
"2021-10-05","0,09","+10,11"
"2021-10-04","0,08","+3,50"
"2021-10-01","0,08","-6,23"
"2021-09-30","0,08","-2,59"
"2021-09-29","0,08","-2,08"
"2021-09-28","0,08","-3,02"
"2021-09-27","0,09","+1,90"
"2021-09-24","0,09","-1,01"
"2021-09-23","0,09","+3,30"
"2021-09-22","0,08","+1,83"
"2021-09-21","0,08","-2,10"
"2021-09-20","0,08","+0,00"
"2021-09-17","0,08","-4,44"
"2021-09-16","0,09","+3,86"
"2021-09-15","0,08","-0,59"
"2021-09-14","0,08","+1,05"
"2021-09-13","0,08","-0,15"
"2021-09-10","0,08","+1,51"
"2021-09-09","0,08","-2,50"
"2021-09-08","0,08","+1,95"
"2021-09-07","0,08","+0,30"
"2021-09-03","0,08","+0,00"
"2021-09-02","0,08","-0,44"
"2021-09-01","0,08","+0,91"
"2021-08-31","0,08","-4,07"
"2021-08-27","0,09","+1,62"
"2021-08-26","0,08","-3,70"
"2021-08-25","0,09","-1,13"
"2021-08-24","0,09","+5,33"
"2021-08-23","0,08","-1,75"
"2021-08-20","0,09","-2,28"
"2021-08-19","0,09","-0,57"
"2021-08-18","0,09","+2,17"
"2021-08-17","0,09","-2,26"
Liczba wierszy ograniczona do 50
