Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2022-01-12","0,11","-2,53"
"2022-01-11","0,11","+8,65"
"2022-01-10","0,10","-1,23"
"2022-01-07","0,11","+1,10"
"2022-01-06","0,10","+2,10"
"2022-01-05","0,10","-1,65"
"2022-01-04","0,10","+2,43"
"2021-12-31","0,10","-0,62"
"2021-12-30","0,10","-2,27"
"2021-12-29","0,10","+2,96"
"2021-12-24","0,10","-0,62"
"2021-12-23","0,10","-0,85"
"2021-12-22","0,10","-1,44"
"2021-12-21","0,10","+0,72"
"2021-12-20","0,10","+0,98"
"2021-12-17","0,10","-1,33"
"2021-12-16","0,10","-4,37"
"2021-12-15","0,11","+1,05"
"2021-12-14","0,11","-2,05"
"2021-12-13","0,11","+1,03"
"2021-12-10","0,11","+3,82"
"2021-12-09","0,10","+3,21"
"2021-12-08","0,10","-0,61"
"2021-12-07","0,10","-1,10"
"2021-12-06","0,10","-0,96"
"2021-12-03","0,10","+0,61"
"2021-12-02","0,10","+0,85"
"2021-12-01","0,10","+9,18"
"2021-11-30","0,09","-5,29"
"2021-11-29","0,10","+9,81"
"2021-11-26","0,09","-1,36"
"2021-11-24","0,09","-0,40"
"2021-11-23","0,09","-0,41"
"2021-11-22","0,09","-1,07"
"2021-11-19","0,09","+2,47"
"2021-11-18","0,09","+2,68"
"2021-11-17","0,09","-0,15"
"2021-11-16","0,09","-2,47"
"2021-11-15","0,09","+2,24"
"2021-11-12","0,09","-0,13"
"2021-11-10","0,09","+0,00"
"2021-11-09","0,09","-2,06"
"2021-11-08","0,09","+2,82"
"2021-11-05","0,09","-1,12"
"2021-11-04","0,09","+4,83"
"2021-11-03","0,09","+5,71"
"2021-11-02","0,08","-0,31"
"2021-11-01","0,08","-7,28"
"2021-10-29","0,09","+1,30"
"2021-10-28","0,09","-0,71"
Liczba wierszy ograniczona do 50
