Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2021-06-07","0,08","+0,00"
"2021-06-04","0,08","+1,56"
"2021-06-03","0,08","-6,43"
"2021-06-02","0,09","-3,66"
"2021-06-01","0,09","+3,34"
"2021-05-28","0,09","-6,78"
"2021-05-27","0,09","-0,40"
"2021-05-26","0,09","+2,78"
"2021-05-25","0,09","-1,10"
"2021-05-24","0,09","-0,69"
"2021-05-21","0,09","-0,94"
"2021-05-20","0,09","-4,15"
"2021-05-19","0,10","-2,77"
"2021-05-18","0,10","+1,79"
"2021-05-17","0,10","+0,00"
"2021-05-14","0,10","-3,35"
"2021-05-13","0,10","+2,80"
"2021-05-12","0,10","+4,67"
"2021-05-11","0,09","-4,46"
"2021-05-10","0,10","-3,21"
"2021-05-07","0,10","+6,57"
"2021-05-06","0,10","-9,94"
"2021-05-05","0,11","-2,54"
"2021-05-04","0,11","+1,05"
"2021-04-30","0,11","-2,62"
"2021-04-29","0,11","-2,75"
"2021-04-28","0,11","+2,72"
"2021-04-27","0,11","-0,68"
"2021-04-26","0,11","+0,00"
"2021-04-23","0,11","+4,59"
"2021-04-22","0,11","-3,74"
"2021-04-21","0,11","+2,56"
"2021-04-20","0,11","-5,49"
"2021-04-19","0,11","-1,84"
"2021-04-16","0,12","+0,77"
"2021-04-15","0,12","-0,54"
"2021-04-14","0,12","+0,87"
"2021-04-13","0,11","+2,12"
"2021-04-12","0,11","+0,90"
"2021-04-09","0,11","+0,68"
"2021-04-08","0,11","-1,78"
"2021-04-07","0,11","+2,15"
"2021-04-06","0,11","-0,23"
"2021-04-01","0,11","-0,67"
"2021-03-31","0,11","-3,47"
"2021-03-30","0,12","+6,11"
"2021-03-29","0,11","+1,17"
"2021-03-26","0,11","-1,72"
"2021-03-25","0,11","-1,02"
"2021-03-24","0,11","+1,49"
Liczba wierszy ograniczona do 50
