Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2020-10-27","0,14","-4,53"
"2020-10-26","0,15","-3,04"
"2020-10-23","0,16","+4,69"
"2020-10-22","0,15","+0,93"
"2020-10-21","0,15","+1,46"
"2020-10-20","0,15","+1,65"
"2020-10-19","0,14","-5,28"
"2020-10-16","0,15","+2,80"
"2020-10-15","0,15","+1,03"
"2020-10-14","0,15","-1,77"
"2020-10-13","0,15","+2,15"
"2020-10-09","0,15","-1,11"
"2020-10-08","0,15","-0,08"
"2020-10-07","0,15","+5,28"
"2020-10-06","0,14","-2,19"
"2020-10-05","0,14","+1,96"
"2020-10-02","0,14","+0,36"
"2020-10-01","0,14","-5,90"
"2020-09-30","0,15","-0,50"
"2020-09-29","0,15","+1,62"
"2020-09-28","0,15","+0,34"
"2020-09-25","0,15","+0,95"
"2020-09-24","0,14","-2,28"
"2020-09-23","0,15","-1,99"
"2020-09-22","0,15","-0,49"
"2020-09-21","0,15","-2,48"
"2020-09-18","0,16","-0,32"
"2020-09-17","0,16","+4,17"
"2020-09-16","0,15","-0,33"
"2020-09-15","0,15","-1,07"
"2020-09-14","0,15","-0,16"
"2020-09-11","0,15","+0,83"
"2020-09-10","0,15","-0,08"
"2020-09-09","0,15","-2,73"
"2020-09-08","0,16","+0,81"
"2020-09-04","0,15","-2,76"
"2020-09-03","0,16","+2,51"
"2020-09-02","0,15","-0,57"
"2020-09-01","0,16","-0,71"
"2020-08-28","0,16","+1,04"
"2020-08-27","0,16","-0,80"
"2020-08-26","0,16","-8,15"
"2020-08-25","0,17","-2,30"
"2020-08-24","0,17","-0,50"
"2020-08-21","0,18","-4,43"
"2020-08-20","0,18","+7,24"
"2020-08-19","0,17","+8,15"
"2020-08-18","0,16","-2,09"
"2020-08-17","0,16","+6,52"
"2020-08-14","0,15","-6,41"
Liczba wierszy ograniczona do 50
