Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2022-06-10","1,28","+2,19"
"2022-06-09","1,25","+4,58"
"2022-06-08","1,20","+0,79"
"2022-06-07","1,19","+2,64"
"2022-06-06","1,16","+3,57"
"2022-06-01","1,12","-0,01"
"2022-05-31","1,12","+5,49"
"2022-05-30","1,06","-0,01"
"2022-05-27","1,06","+0,20"
"2022-05-26","1,06","+3,57"
"2022-05-25","1,02","+0,63"
"2022-05-24","1,02","+1,08"
"2022-05-23","1,01","+3,30"
"2022-05-20","0,97","+1,34"
"2022-05-19","0,96","+3,60"
"2022-05-18","0,93","-0,12"
"2022-05-17","0,93","-0,76"
"2022-05-16","0,94","+5,51"
"2022-05-13","0,89","+1,37"
"2022-05-12","0,87","+2,41"
"2022-05-11","0,85","+1,30"
"2022-05-10","0,84","-0,15"
"2022-05-09","0,84","+0,27"
"2022-05-06","0,84","-0,32"
"2022-05-05","0,84","-0,03"
"2022-05-04","0,85","+1,61"
"2022-05-03","0,83","+3,54"
"2022-04-29","0,80","+14,20"
"2022-04-22","0,70","+5,33"
"2022-04-21","0,67","+5,75"
"2022-04-20","0,63","+1,10"
"2022-04-19","0,62","+5,09"
"2022-04-14","0,59","+7,27"
"2022-04-13","0,55","+0,52"
"2022-04-12","0,55","+5,09"
"2022-04-11","0,52","+2,06"
"2022-04-08","0,51","+5,30"
"2022-04-07","0,49","+8,13"
"2022-04-06","0,45","+1,22"
"2022-04-05","0,45","+4,07"
"2022-04-04","0,43","-2,06"
"2022-04-01","0,44","-3,19"
"2022-03-31","0,45","-0,69"
"2022-03-30","0,46","-0,50"
"2022-03-29","0,46","+1,78"
"2022-03-28","0,45","+0,96"
"2022-03-25","0,45","-0,45"
"2022-03-24","0,45","-2,07"
"2022-03-23","0,46","+0,38"
"2022-03-22","0,45","+2,45"
Liczba wierszy ograniczona do 50
