Dane pochodz± z serwisu Money.pl https://www.money.pl/
Data,Warto¶æ,Zmiana [%]
"2021-03-24","0,11","+1,49"
"2021-03-23","0,11","+1,16"
"2021-03-22","0,11","-0,92"
"2021-03-19","0,11","-2,25"
"2021-03-18","0,11","+0,57"
"2021-03-17","0,11","+1,96"
"2021-03-16","0,11","+0,59"
"2021-03-15","0,11","+1,29"
"2021-03-12","0,11","+0,12"
"2021-03-11","0,11","+0,11"
"2021-03-10","0,11","-1,17"
"2021-03-09","0,11","+1,07"
"2021-03-08","0,11","+2,66"
"2021-03-05","0,10","-0,24"
"2021-03-04","0,10","+0,49"
"2021-03-03","0,10","-4,96"
"2021-03-02","0,11","-0,80"
"2021-03-01","0,11","-7,81"
"2021-02-26","0,12","+2,93"
"2021-02-25","0,12","+0,55"
"2021-02-24","0,11","-2,66"
"2021-02-23","0,12","+2,39"
"2021-02-22","0,11","-0,54"
"2021-02-19","0,12","+3,93"
"2021-02-18","0,11","+0,12"
"2021-02-17","0,11","+2,54"
"2021-02-16","0,11","+0,81"
"2021-02-12","0,11","-4,34"
"2021-02-11","0,11","+2,51"
"2021-02-10","0,11","-5,51"
"2021-02-09","0,12","-3,83"
"2021-02-08","0,12","+1,36"
"2021-02-05","0,12","-3,74"
"2021-02-04","0,12","+9,05"
"2021-02-03","0,11","-1,74"
"2021-02-02","0,12","+1,99"
"2021-02-01","0,11","-5,44"
"2021-01-29","0,12","-2,75"
"2021-01-28","0,12","+1,76"
"2021-01-27","0,12","-1,43"
"2021-01-26","0,12","-3,92"
"2021-01-25","0,13","+2,20"
"2021-01-22","0,12","-4,04"
"2021-01-21","0,13","+1,17"
"2021-01-20","0,13","-0,77"
"2021-01-19","0,13","+0,00"
"2021-01-15","0,13","+0,48"
"2021-01-14","0,13","+1,88"
"2021-01-13","0,13","-0,59"
"2021-01-12","0,13","+0,99"
Liczba wierszy ograniczona do 50
